S13215	Måløvgårds Mose; 020210-16	Zealand	55.760	12.330	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S20330	Zwaagdijk-Oost Oost	Noord-Holland Province	52.700	5.130	Netherlands	based on the publication groot2024a (not exact location)	2024-07-02 13:28:10	jelena@localhost	2024-07-16 13:38:46	jelena@localhost
S10984	Sărata Monteoru; Monteoru	Buzău County	45.146	26.642	Romania	\N	2022-05-17 11:01:13	jelena@localhost	2023-08-02 10:27:01	jelena@localhost
S04393	Kirchamper	\N	48.467	11.885	Germany	K (p54-88) describes taxa from several early/middle/late Neo sites in Bavaria; few details given about the sites, contexts, sampling, recovery (etc.); at Kirchamper samples taken from pits - KpI (LBK): 9 samples; KpII (Oberlauterbach): 65 samples	\N	\N	\N	\N
S01001	A 28 Nord	\N	48.230	0.160	France	\N	2023-01-18 11:16:18	adrian@localhost	2023-01-18 11:16:41	adrian@localhost
S12922	Hofoldinger Forst	\N	47.950	11.720	Germany	Exact location in publication	2023-08-23 08:48:16	sam@localhost	2023-08-23 08:48:16	sam@localhost
S11891	Цыра; Ţîra	Florești district	47.842	28.405	Moldova	location of the village	2023-03-27 12:01:21	jelena@localhost	2023-04-03 09:36:30	jelena@localhost
S01723	Dok	\N	51.260	4.210	Belgium	\N	\N	\N	\N	\N
S07208	Rathgall	\N	52.801	-6.660	Ireland	\N	\N	\N	\N	\N
S07188	Parknahown	\N	52.813	-7.496	Ireland	\N	\N	\N	2023-04-20 14:44:03	Rscripts@localhost
S10934	Pogradec	\N	40.902	20.656	Albania	within 2 km	2022-05-13 11:20:02	jelena@localhost	2022-05-13 12:20:02	jelena@localhost
S03242	Oxford BT Tunnel	\N	51.746	-1.255	Great Britain	\N	\N	\N	\N	\N
S03687	Scheemda	\N	53.168	6.930	Netherlands	\N	\N	\N	\N	\N
S01685	Delley-Portalban II	\N	46.914	6.956	Switzerland	\N	\N	\N	\N	\N
S04884	Muntelier/Fischergaessli	\N	46.938	7.126	Switzerland	\N	\N	\N	\N	\N
S08206	Valtorp 1	\N	58.228	13.647	Sweden	\N	\N	\N	\N	\N
S11230	Östra Grevie 9:30; Östra Grevie 12:14	\N	55.468	13.136	Sweden	within 2 km	2022-09-22 10:31:59	jelena@localhost	2022-09-22 10:31:59	jelena@localhost
S07982	Ingelstorp 32:5	\N	55.435	14.033	Sweden	\N	\N	\N	\N	\N
S01916	Flixton	\N	54.216	-0.414	Great Britain	\N	\N	\N	\N	\N
S10204	Ludoš-Budžak; Лудош-Буџак; Ludas-Budzsák	\N	46.099	19.811	Serbia	\N	2022-01-31 08:24:41	jelena@macelab-server.biochem.ucl.ac.uk	2024-01-10 16:00:10	jan@localhost
S07930	Øgårde 21; Storelyng VI; 030318-174	Zealand	55.589	11.560	Denmark	St. Åmose	\N	\N	2024-03-19 14:51:56	helene@localhost
S04842	Lagiewniki 5; Łagiewniki 5	\N	52.650	18.300	Poland	\N	\N	\N	2023-09-13 08:54:44	jelena@localhost
S13559	Westwoud-Binnenwijzend	Noord-Holland	52.696	5.152	Netherlands	coordinates: patte2021a	2024-09-06 15:06:49	robert@localhost	2024-09-06 15:06:49	robert@localhost
S10300	Špila; Spilia	\N	42.493	18.712	Montenegro	\N	2022-01-25 12:22:59	jelena@localhost	2024-07-31 16:42:28	jan@localhost
S09012	Pointe-du-Groin-du-Cou	Pays de la Loire	46.340	-1.430	France	\N	\N	\N	2024-08-12 18:07:33	fredrik@localhost
S12038	Кобан; Koban	North Ossetia-Alania Republic (Республика Северная Осетия — Алания)	42.920	44.484	Russia	location of the village	2023-04-12 09:45:06	jelena@localhost	2023-04-12 09:45:06	jelena@localhost
S02976	Mesnil-sur-Oger, Les Mournouards	\N	48.930	4.030	France	\N	\N	\N	\N	\N
S13225	Østenkær; 100315-23	Jutland	57.580	10.236	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S12732	Курпеже-Молла; Kurpezhe-Molla	Astrakhan Oblast	46.320	48.095	Russia	assumed location based on maps in publications, the site is close to the sity of Astrakhan	2023-08-31 08:36:25	jelena@localhost	2023-08-31 08:36:25	jelena@localhost
S20306	Hoogwoud-Opmeer Oost	Noord-Holland Province	52.710	4.940	Netherlands	based on the publication groot2024a (not exact location)	2024-07-02 13:28:10	jelena@localhost	2024-07-16 13:37:08	jelena@localhost
S12183	Sigtuna St. Lars Mass Grave	Uppland	59.618	17.724	Sweden	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S04223	Wetton Mill	\N	53.104	-1.857	Great Britain	\N	\N	\N	\N	\N
S13505	Skradnik–Sultanov grob	\N	45.215	15.316	Croatia	coordinates: patte2021a	2024-05-28 13:02:34	robert@localhost	2024-05-28 13:02:34	robert@localhost
S10356	Belotić; Белотић	\N	44.579	19.720	Serbia	\N	2022-02-10 09:45:10	claudia@localhost	2022-07-21 17:18:55	robert@localhost
S10858	Versend-Gilencsa	\N	46.003	18.506	Hungary	Found to town; within 5 km	2022-05-02 11:31:41	sam@localhost	2023-04-20 14:56:47	Rscripts@localhost
S10642	Endröd Varnyai-tanya	\N	47.910	21.830	Hungary	\N	2022-04-08 13:50:10	maria@localhost	2024-09-10 16:24:06	jan@localhost
S12713	Ludányhalászi-Sóderbánya	Nógrád county	48.142	19.526	Hungary	location of the village	2023-07-20 11:28:29	jelena@localhost	2023-07-20 11:28:29	jelena@localhost
S04070	Ulft	\N	51.926	6.481	Netherlands	\N	\N	\N	\N	\N
S12615	Villedubert "Peirières"	Aude	43.136	2.252	France	\N	2023-06-21 08:36:16	robert@localhost	2023-06-21 08:36:16	robert@localhost
S07386	Belleben I	\N	51.659	11.627	Germany	Belleben I enclosure is situated between the modern villages of Belleben (Salzland district) and Gerbstedt (Mansfeld-Sudharz); magnetometry survey shows the enclosure as a slight oval with a diameter of roughly 92 m from east to west and 93 m from north to south, the largest diameter of ca. 97.5 m was measured from northeast to southwest; the site is attributed to the Baalberge Culture (4000/3900 - 3400/3300 BC) and according to AMS dates falls into the interval between 3600 and 3400 cal BC (taken from: http://www.monument.ufg.uni-kiel.de/en/the-projects/mitteldeutsche-kreisgrabenanlagen/projektbeschreibung/  (accessed: 18.01.12); archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Belleben aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl BebI) with totals counts but not ubiquities; for Belleben she records that 87 samples (total volume: 870 litres) were analysed; very few ID notes in text; in the general discussion Kirleis notes that enclosures show the lowest concentrations (0.6<e2>-2 remains/10 l) (all remains are charred)	\N	\N	2023-04-20 16:00:02	adrian@localhost
S02734	Les Closeaux	\N	48.900	2.200	France	\N	\N	\N	\N	\N
S01986	Gavres, Goerem Mesolithic Burial	Brittany	47.691	-3.356	France	\N	\N	\N	2024-08-12 16:07:15	fredrik@localhost
S07772	Radojewice 29	\N	52.749	18.413	Poland	\N	\N	\N	\N	\N
S12545	Bapska; Gradac-Bapska	Pannonian	45.190	19.260	Croatia	\N	2023-06-14 18:13:41	natalya@localhost	2023-06-14 18:13:41	natalya@localhost
S20858	Puig d'en Roca	\N	42.000	-2.810	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S06688	Weekley	\N	52.427	-0.694	Great Britain	\N	\N	\N	\N	\N
S20972	Passy “Richebourg”	\N	48.112	3.279	France	assumed location based on the publication	2025-02-27 11:14:54	yuzhen_li@localhost	2025-02-27 11:15:40	yuzhen_li@localhost
S12071	Bowl Hole cemetery	Northeast	55.609	-1.711	Great Britain	\N	2023-04-27 13:45:48	sam@localhost	2023-07-24 14:44:21	robert@localhost
S03420	Radziejów	\N	52.630	18.530	Poland	\N	\N	\N	\N	\N
S20379	Marssum-It Aldlân	Friesland Province	53.203	5.706	Netherlands	based on the publication groot2024a (not exact location)	2024-07-09 13:19:34	jelena@localhost	2024-07-16 13:45:31	jelena@localhost
S10970	Bârlad; Bîrlad	Vaslui County	46.250	27.654	Romania	\N	2022-05-16 14:09:24	jelena@localhost	2023-08-02 07:56:31	jelena@localhost
S09065	Beauclair	\N	49.458	5.115	France	\N	\N	\N	\N	\N
S13089	Staro selo-Idvor; Старо село-Идвор	\N	45.196	20.492	Serbia	\N	2024-01-11 11:33:24	jan@localhost	2024-01-11 11:33:24	jan@localhost
S06162	Alfriston	\N	50.813	0.144	Great Britain	\N	\N	\N	\N	\N
S12108	Ardnamurchan	Scotland	56.764	-6.017	Great Britain	\N	2023-04-27 13:45:48	sam@localhost	2023-07-24 14:47:16	robert@localhost
S08976	Gravière II	\N	49.760	2.650	France	\N	\N	\N	\N	\N
S06664	Townhead	\N	55.834	-5.061	Great Britain	\N	\N	\N	\N	\N
S08067	Maglemosegård (Vedbækfjorden); 020310	Zealand	55.848	12.553	Denmark	\N	\N	\N	2024-03-19 14:13:56	helene@localhost
S10746	Cwm Meudwy B	\N	52.057	-4.342	Great Britain	The village of Horeb lies 1 kilometre to the north-west and the town of Llandysul about 1.5km to the south-east	2022-04-24 20:02:15	maria@localhost	2022-04-24 21:02:15	maria@localhost
S02337	Jouques dolmen des Cudieres	\N	43.637	5.640	France	\N	\N	\N	\N	\N
S11193	Värö-Backa 16:3	\N	57.237	12.183	Sweden	\N	2022-08-16 11:25:56	claudia@localhost	2022-09-22 14:23:31	jelena@localhost
S07470	Kühnhausen	\N	51.033	10.967	Germany	\N	\N	\N	\N	\N
S02891	Madawg	\N	51.834	-2.658	Great Britain	\N	\N	\N	\N	\N
S04423	Meindling	\N	48.800	12.628	Germany	B (p55-68) records taxa in pit fills (total includes 6 p/holes) which represent single occupation phases only; sample size=2dm3 (exception: 3 samples of 1,4 & 5 dm3); presence only for taxa ID from impressions; d/base nos & %s are for charred taxa	\N	\N	\N	\N
S12868	Favella della Corte; Favella	Calabria	39.683	16.447	Italy	coordinates from the SUSTAIN project	2025-02-05 10:31:21	jelena@localhost	2025-02-05 10:31:21	jelena@localhost
S13277	Hägur; RAÄ: Eksta 72:1	Gotland	57.294	18.206	Sweden	Found to town with Googlemaps; within 5 km	2024-04-30 12:31:16	sam@localhost	2024-04-30 12:31:16	sam@localhost
S02226	Hempens-Waldwei	\N	53.165	5.831	Netherlands	\N	\N	\N	\N	\N
S11461	Pălatca; Pălatca-Togul lui Mândruşcă	Cluj County	46.857	24.003	Romania	\N	2023-01-27 10:53:26	jelena@localhost	2023-07-26 06:42:59	jelena@localhost
S13139	Yagodina; Jagodina; Jagodina peštera; Yagodinska Cave	\N	41.628	24.329	Bulgaria	\N	2024-02-14 11:22:06	jan@localhost	2025-06-13 14:46:36	natalia_riabogina@localhost
S07091	Kilsheelan	\N	52.363	-7.578	Ireland	this site straddles three townlands (Kilsheelan, Poulakerry and Cloghcarigeen East). Areas 1 and 2 contained Middle Neolithic pit complexes; later activity was also located at this site, possibly related to modern field clearance; excavation licence number: 05E1391.; Archaeobotany: charred plant remains were recorded in five samples from Middle Neolithic pits at the site; the samples were washed/processed with water, using a sieve of 0.25 mm mesh size; cereal grains (including emmer wheat), hazelnut shell and a weed were present.	\N	\N	\N	\N
S06524	Newton Cliffs	\N	51.566	-3.994	Great Britain	\N	\N	\N	\N	\N
S20790	Hajdúszoboszló-Árkushalom	\N	47.423	21.408	Hungary	\N	2024-11-18 14:53:21	jan@localhost	2024-11-18 14:53:21	jan@localhost
S20326	Wommels-Stapert	Friesland Province	53.110	5.590	Netherlands	based on the publication groot2024a (not exact location)	2024-07-02 13:28:10	jelena@localhost	2024-07-16 13:38:30	jelena@localhost
S04798	Hohlstedt	\N	51.450	11.160	Germany	\N	\N	\N	\N	\N
S11801	Radomyšl – Tomanovna	Strakonice	49.317	13.932	Czechia / Czech Republic	\N	2023-03-01 13:23:06	jan@localhost	2023-03-07 14:45:25	jan@localhost
S07890	Diseflat	\N	57.265	12.310	Sweden	\N	\N	\N	\N	\N
S08123	Rustrup; Rustrup I; Rustrup II; 160606-164	Jutland	56.111	9.504	Denmark	\N	\N	\N	2024-03-19 15:07:05	helene@localhost
S12569	Săsarm – Valea Slatina	\N	47.226	24.208	Romania	\N	2023-06-16 11:06:19	jan@localhost	2023-06-16 11:06:19	jan@localhost
S02835	Löddesborg	\N	55.733	12.967	Sweden	\N	\N	\N	\N	\N
S04867	Marolles-sur-Seine "le Chemin de Sens"	\N	48.370	3.020	France	\N	\N	\N	\N	\N
S13566	Kongresni trg	Ljubljana	46.050	14.504	Slovenia	coordinates: patte2021a	2024-09-06 15:06:49	robert@localhost	2024-09-06 15:06:49	robert@localhost
S13549	Zamárdi (sites 56 and 89), Kútvölgyi-dűlő	Somogy	46.876	17.967	Hungary	coordinates: patte2021a	2024-09-06 15:06:49	robert@localhost	2024-09-06 15:06:49	robert@localhost
S08833	Ri « Le Fresne »	\N	48.803	-0.130	France	\N	\N	\N	\N	\N
S06741	Arodstown	\N	53.492	-6.681	Ireland	\N	\N	\N	\N	\N
S04026	Trekroner; 020216-32A	Zealand	55.760	12.410	Denmark	\N	\N	\N	2024-03-15 12:54:21	helene@localhost
S20778	Erimi Pamboula	Limassol	34.692	32.921	Cyprus	Found to town GoogleMaps; within 3 km	2024-11-13 09:49:57	sam@localhost	2024-11-13 09:49:57	sam@localhost
S06757	Balloo	\N	54.474	-5.691	Ireland	\N	\N	\N	\N	\N
S13298	Gračič pod Brinjevo Goro	\N	46.373	15.413	Slovenia	\N	2024-05-21 17:46:08	jan@localhost	2024-05-21 17:46:08	jan@localhost
S21060	Budapest 11; Kána falu (Kána village); Kőérberek-Tóváros	\N	47.446	19.004	Hungary	\N	2025-08-29 19:06:05	natalia_riabogina@localhost	2025-08-29 19:06:05	natalia_riabogina@localhost
S01777	Ede-Maanderbuurt	\N	52.030	5.603	Netherlands	\N	\N	\N	\N	\N
S12757	Valkenburg-Marktveld	Zuid-Holland Province	52.170	4.433	Netherlands	\N	2023-10-12 10:27:56	jelena@localhost	2024-10-24 15:06:40	jelena@localhost
S06457	Kirkhill	\N	55.300	-2.039	Great Britain	\N	\N	\N	\N	\N
S12751	Widziszewo 17	\N	52.040	16.604	Poland	location of the village	2023-10-06 13:53:20	jelena@localhost	2023-10-06 13:53:20	jelena@localhost
S07860	Annelund	\N	57.661	18.337	Sweden	\N	\N	\N	\N	\N
S06922	Cooleeny	\N	53.213	-8.462	Ireland	\N	\N	\N	\N	\N
S12626	Zvonimirovo-Veliko polje; Zvonimirovo	\N	45.883	17.555	Croatia	location of the village	2023-06-27 12:19:55	jelena@localhost	2023-06-27 12:19:55	jelena@localhost
S11707	Gelot	\N	37.946	69.720	Tajikistan	Site location to village found USA's National Geospatial Intelligence Agency (Bethesda, MD)	2023-02-23 12:22:31	sam@localhost	2023-02-23 12:22:31	sam@localhost
S11103	Ulan IV; Улан IV	\N	46.530	43.645	Russia	within 10 km	2022-06-27 12:56:33	claudia@localhost	2022-06-27 13:56:33	claudia@localhost
S01923	FO	\N	45.300	2.590	France	\N	\N	\N	\N	\N
S10207	Opovo; Опово; Opovo-Ugar Bajbuk; Опово-Угар Бајбук	\N	45.048	20.461	Serbia	\N	2022-01-20 19:54:35	jelena@macelab-server.biochem.ucl.ac.uk	2022-01-20 19:54:35	jelena@macelab-server.biochem.ucl.ac.uk
S11057	Peştiş; Peştera Piatra Jurcoaiei	\N	46.483	26.528	Romania	\N	2022-06-06 08:32:01	jelena@localhost	2022-06-06 09:32:01	jelena@localhost
S10451	Chaumont-sur-Yonne "Les Grahuches"	\N	48.324	3.104	France	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S03053	MOULIGNA	\N	43.480	-1.550	France	\N	\N	\N	\N	\N
S20644	Alto de Reinoso	\N	42.438	-3.475	Spain	Located GoogleMaps between two villages in publication; within 2 km	2024-10-15 11:47:33	sam@localhost	2024-10-15 11:47:33	sam@localhost
S04676	Colmar "Route de Rouffach"	\N	48.066	7.343	France	\N	\N	\N	\N	\N
S03500	Roaix hypogee des Crottes	\N	44.270	5.010	France	\N	\N	\N	\N	\N
S20699	Nagycenk‐Lapos‐rét	\N	47.608	16.691	Hungary	location of the village	2024-10-18 10:30:39	jan@localhost	2024-10-18 10:30:39	jan@localhost
S13065	Пригорск 1; Prigorsk	Центр. Хакасия	53.910	91.260	Russia	Located to town googlemaps; within 2 km	2023-12-05 10:03:17	sam@localhost	2023-12-05 10:03:17	sam@localhost
S20677	Rinconada Alta	\N	-12.079	-76.928	Peru	Found to district in Lima; within 1 km	2024-10-15 11:47:33	sam@localhost	2024-10-15 11:47:33	sam@localhost
S02375	KERGARADEC	\N	47.900	-4.140	France	\N	\N	\N	\N	\N
S10776	Glăvăneştii Vechi	\N	47.561	27.267	Romania	\N	2022-04-28 18:33:54	jelena@localhost	2022-04-28 19:33:54	jelena@localhost
S10567	Nitra; Nitra Horné Krškany	Nitra	48.280	18.090	Slovakia	coordinates: gelab2023a; same coordinates as Nitra Mlynárce but different site	2022-03-29 10:04:06	robert@localhost	2023-11-21 17:28:26	robert@localhost
S09070	Bouche a Vesle	Hauts-de-France	49.393	3.468	France	\N	\N	\N	2024-08-12 16:50:09	fredrik@localhost
S11358	La Motte I	Hérault	43.303	3.466	France	within 2 km	2022-12-12 13:49:07	jelena@localhost	2022-12-12 13:50:05	jelena@localhost
S20993	Horoměřice	Praha-západ	50.134	14.335	Czechia / Czech Republic	Aproximate location	2025-05-02 09:33:02	dominika_schmidtova@localhost	2025-05-02 09:33:02	dominika_schmidtova@localhost
S01303	Birsmatten, Basisgrotte	\N	47.445	7.549	Switzerland	\N	\N	\N	\N	\N
S20704	Balatonőszöd–Temetői dűlő	\N	46.802	17.812	Hungary	\N	2024-10-18 17:11:03	jan@localhost	2025-02-14 16:17:10	jan@localhost
S13220	Øgårde 29; Præstelyngen boat II; 030318-454	Zealand	55.589	11.563	Denmark	St. Åmose	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S10028	Bruck	\N	48.664	13.074	Germany	\N	2021-12-13 15:13:17	robert@localhost	2021-12-13 15:13:17	robert@localhost
S02647	Le DALADE Grotte	\N	43.550	5.600	France	\N	\N	\N	\N	\N
S02160	Haaksbergen-Hassinkbrink II	\N	52.170	6.720	Netherlands	\N	\N	\N	\N	\N
S07697	Kazimierzów	\N	51.964	22.332	Poland	\N	\N	\N	\N	\N
S07032	Grace Dieu	\N	52.257	-7.129	Ireland	\N	\N	\N	\N	\N
S02306	Ire	\N	57.840	18.590	Sweden	\N	\N	\N	\N	\N
S07907	Falk västra 7	\N	58.167	13.532	Sweden	\N	\N	\N	\N	\N
S10044	Kornice	\N	50.090	18.100	Poland	\N	2021-12-13 15:13:17	robert@localhost	2021-12-13 15:13:17	robert@localhost
S06317	Cula'Bhaile	\N	55.884	-5.920	Great Britain	\N	\N	\N	\N	\N
S08896	Boscombe down	\N	51.160	-1.770	Great Britain	\N	\N	\N	\N	\N
S13243	Ulvsmose; 040306-7	Zealand	55.446	11.478	Denmark	St. Frederikslund	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S09129	Litzelstetten-Ebnewiesen I	\N	47.404	9.178	Germany	\N	\N	\N	\N	\N
S10286	Ocna Sibiului-Platoul Triguri	\N	45.859	24.068	Romania	\N	2022-01-25 12:22:59	jelena@localhost	2023-06-16 18:25:16	jan@localhost
S07162	Moyle Big	\N	52.801	-6.860	Ireland	\N	\N	\N	\N	\N
S04945	Ratzersdorf-St. Pölten	\N	48.220	15.660	Austria	\N	\N	\N	\N	\N
S11549	Daktariškė 5	\N	55.794	22.385	Lithuania	location of the village	2023-02-16 13:34:18	jelena@localhost	2023-02-16 13:34:18	jelena@localhost
S01568	Cnoc Sligeach	\N	56.067	-6.210	Great Britain	\N	\N	\N	\N	\N
S07683	Inowroclaw 55	\N	52.756	18.254	Poland	\N	\N	\N	\N	\N
S06452	Killibury	\N	50.529	-4.797	Great Britain	\N	\N	\N	\N	\N
S02508	LA GOUMOIZIERE	\N	46.510	0.640	France	\N	\N	\N	\N	\N
S08781	Otmíče - Otmíčská hora	Beroun	49.863	13.949	Czechia / Czech Republic	\N	\N	\N	2023-01-19 14:36:28	jan@localhost
S03653	Sand	\N	57.475	-5.863	Great Britain	\N	\N	\N	\N	\N
S06072	Friebritz 2	\N	48.632	16.431	Austria	\N	\N	\N	\N	\N
S07978	Husede I; 030318	Zealand	55.589	11.561	Denmark	coordinates from nearby 030318-455; Øgårde-complex; St. Åmose	\N	\N	2024-03-19 14:53:13	helene@localhost
S02564	La Torche	\N	47.840	-4.280	France	\N	\N	\N	\N	\N
S01274	Bergheim	\N	50.950	6.620	Germany	K (p21-23) describes remains from within the fill of a pot found in a pit; plant material was interspersed within clay lumps (3dm3) & had not charred in situ; clay was soaked in water & wet sieved	\N	\N	\N	\N
S11666	Pravčice – U obrázku	Kroměříž	49.328	17.481	Czechia / Czech Republic	\N	2023-02-22 14:32:14	jan@localhost	2023-03-07 14:45:25	jan@localhost
S07734	Mrowino 3	\N	52.513	16.701	Poland	\N	\N	\N	\N	\N
S10424	Fellbach-Oeffingen "Hofener Weg"	\N	48.843	9.259	Germany	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S08083	Mossby 27:1	\N	55.412	13.612	Sweden	\N	\N	\N	\N	\N
S12956	Mayaky; Mayaki; Маяки	Odesa	46.412	30.273	Ukraine	\N	2023-09-13 14:00:07	robert@localhost	2023-09-13 14:03:47	robert@localhost
S06295	Combe Hill	\N	50.797	0.234	Great Britain	\N	\N	\N	\N	\N
S10403	Gudensberg	\N	51.177	9.369	Germany	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S03769	Siggeneben-Süd	\N	54.267	11.050	Germany	\N	\N	\N	\N	\N
S11045	Aşıklı Höyük	\N	38.349	34.230	Türkiye	\N	2022-06-02 11:47:12	emily@localhost	2022-06-02 12:47:12	emily@localhost
S20868	Kabardinskiy 9	\N	43.826	42.716	Russia	Location in publication	2024-12-05 09:50:29	yuzhen_li@localhost	2024-12-06 12:04:35	yuzhen_li@localhost
S13082	Lazarev grad - Crkvena građevina; Лазарев град - Црквена грађевина	\N	43.583	21.317	Serbia	\N	2024-01-11 11:22:56	jan@localhost	2024-01-11 11:22:56	jan@localhost
S10882	Cârlomăneşti-Armanu; Cârlomăneşti	Buzău County	45.230	26.687	Romania	within 1 km	2022-05-04 14:20:30	jelena@localhost	2024-04-19 15:14:19	natalya@localhost
S07659	Ciechrz 25	\N	52.671	18.179	Poland	\N	\N	\N	\N	\N
S11546	Grotte Mandrin	\N	44.466	4.766	France	\N	2023-02-15 18:59:49	robert@localhost	2023-02-15 18:59:49	robert@localhost
S01245	Be-45	\N	53.210	6.580	Netherlands	\N	\N	\N	\N	\N
S11110	Dobřany	\N	49.647	13.288	Czechia / Czech Republic	\N	2022-06-28 13:31:23	claudia@localhost	2022-06-28 14:31:23	claudia@localhost
S08875	Lievin	\N	50.420	2.780	France	\N	\N	\N	\N	\N
S07641	Bierówka kurgan	\N	49.772	21.576	Poland	\N	\N	\N	\N	\N
S06657	Toadhole	\N	50.854	-0.186	Great Britain	\N	\N	\N	\N	\N
S02251	Home Farm Castle	\N	56.621	-3.906	Great Britain	\N	\N	\N	\N	\N
S06595	Seamer Moor Barrow	\N	54.263	-0.465	Great Britain	\N	\N	\N	\N	\N
S04367	Geleen-Haesselderveld	\N	50.970	5.820	Netherlands	B (p1-10) describes remains found in 'well dated pit fills' at the site (12 samples); if several layers were identified in a pit they were sampled separately; she gives vols in dm3 & lists nos of taxa per sample	\N	\N	\N	\N
S08234	Lammefjord	\N	55.792	11.667	Denmark	\N	\N	\N	\N	\N
S02161	Haamstede-Brabers	\N	51.683	3.717	Netherlands	\N	\N	\N	\N	\N
S11245	Frøyland	\N	58.775	5.730	Norway	\N	2022-09-28 17:03:15	claudia@localhost	2022-09-28 17:03:15	claudia@localhost
S02417	Knockiveagh	\N	54.275	-6.185	Ireland	\N	\N	\N	\N	\N
S12952	Lakonis	Peloponnese	36.853	22.541	Greece	Exact location in publication	2023-09-08 13:00:57	sam@localhost	2023-09-08 13:00:57	sam@localhost
S04821	Klíčany	\N	50.120	14.250	Czechia / Czech Republic	\N	\N	\N	2023-02-27 13:53:39	jan@localhost
S11509	Песчаный V; Peschany V	Rostov Region	46.556	43.643	Russia	according to the publication shish2018a	2023-02-13 11:19:37	jelena@localhost	2023-02-13 11:19:37	jelena@localhost
S20870	Marinskaya 3	\N	43.925	43.530	Russia	Location in publication	2024-12-05 09:50:29	yuzhen_li@localhost	2024-12-06 12:04:30	yuzhen_li@localhost
S10304	Vela Spilja-Lošinj; Vela Jama-Lošinj	\N	44.670	14.350	Croatia	\N	2022-04-13 10:48:50	jelena@macelab-server.biochem.ucl.ac.uk	2022-04-13 11:48:50	jelena@macelab-server.biochem.ucl.ac.uk
S02704	Leek-AZC	\N	53.167	6.364	Netherlands	\N	\N	\N	\N	\N
S07561	Melk-Wachberg	\N	48.220	15.370	Austria	\N	\N	\N	\N	\N
S07071	Killavally	\N	53.551	-7.403	Ireland	\N	\N	\N	\N	\N
S20350	Midden Delfland 15.04	Zuid-Holland Province	51.961	4.308	Netherlands	based on the publication groot2024a (not exact location)	2024-07-08 14:42:25	jelena@localhost	2024-07-16 13:42:25	jelena@localhost
S10386	Strandvägen	\N	58.540	15.061	Sweden	Within 1.5 km	2022-03-14 11:52:24	sam@localhost	2022-03-14 11:52:24	sam@localhost
S06791	Ballynacraig	\N	54.369	-5.724	Ireland	\N	\N	\N	\N	\N
S04451	Robin Hood's Ball	\N	51.210	-1.860	Great Britain	samples from W83: a +/- circular cluster of pits within a defined artefact scatter (p61); C (p250-3) records that 102 l from pits (nos not given) were processed - residues also sorted; a single list of taxa in table 133 (nos of samples not given)	\N	\N	\N	\N
S13184	Borremose (Falster); 070112-43	Falster	54.833	11.947	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S12630	Răuceşti; Răuceşti-Dealul Monteni	Neamţ County	47.240	26.417	Romania	\N	2023-06-29 09:29:41	jelena@localhost	2023-07-26 06:42:14	jelena@localhost
S06490	Meare	\N	51.176	-2.794	Great Britain	\N	\N	\N	\N	\N
S12524	Benkovski	\N	42.409	25.902	Bulgaria	Coordinates listed publication	2023-06-13 11:05:18	sam@localhost	2023-06-13 11:05:18	sam@localhost
S20890	Keszthely-Fenékpuszta I	\N	46.710	17.243	Hungary	\N	2024-12-11 13:21:13	jan@localhost	2024-12-11 13:21:13	jan@localhost
S02915	MALVOISIN	\N	43.800	5.030	France	\N	\N	\N	\N	\N
S06434	Hognaston	\N	53.062	-1.634	Great Britain	\N	\N	\N	\N	\N
S09135	Maurach-Ziegelhütte	\N	47.742	9.229	Germany	\N	\N	\N	\N	\N
S06625	Sproatley	\N	53.794	-0.170	Great Britain	\N	\N	\N	\N	\N
S20887	Sormás-Törok-földek	\N	46.474	16.902	Hungary	\N	2024-12-11 09:05:43	jan@localhost	2024-12-11 09:05:43	jan@localhost
S06866	Carrigdirty	\N	52.664	-8.627	Ireland	\N	\N	\N	\N	\N
S12845	Kerk Avezaath-Huis Malburg	Zuid-Holland Province	51.898	5.383	Netherlands	based on the publication groot2024a (not exact location)	2024-11-06 12:02:39	jelena@localhost	2024-11-06 12:03:41	jelena@localhost
S04740	Fir tree field	\N	50.932	-1.999	Great Britain	\N	\N	\N	\N	\N
